Major Name,Total
Architectural Studies,436
Architecture,158
Art Education,49
Art Foundation,118
Art History,19
Art and Design,37
Crafts,16
Dance,70
Graphic Design,81
History of Art,4
Industrial Design,113
Instrumental Music,71
Jazz Performance,27
Landscape Architecture,120
Music,342
Music Composition,8
Music Education,175
Music History,3
Musicology,15
New Media,17
Nondegree,24
Open Studies,3
Painting,21
Photography,16
Regional Planning,19
Sculpture,3
Theatre,167
Urban Planning,134
Voice,24
